Column1.1,Column1.2,Column1.3,Column1.4,Column1.5
Subclass,Trivial Names of Compounds,,,
agminoside A,agminoside A,,,
Amide Alkaloids from Piper boehmeriaefolium,"(2E,4E)-N-[(4-Hydroxy-3-methoxyphenyl)ethyl]-2,4-decadienamide",,,
Amide Alkaloids from Piper boehmeriaefolium,"(2E,4E)-N-[2-(Methylsulfinyl)ethyl]-2,4-decadienamide",,,
Amide Alkaloids from Piper boehmeriaefolium,"1-[(2E,4E,6E)-2,4,6-Dodecatrienoyl]pyrrolidine",,,
Amide Alkaloids from Piper boehmeriaefolium,"1-[(2E,4E,9E)-10-(3,4-Methylenedioxyphenyl)-2,4,9-undecatrienoyl]pyrrolidine",,,
Amide Alkaloids from Piper boehmeriaefolium,"1-[(2E,4Z,8E)-9-(3,4-Methylenedioxyphenyl)-2,4,8-nonatrienoyl]pyrrolidine",,,
Amide Alkaloids from Piper boehmeriaefolium,"1-[(4E,9E)-10-(3,4-Methylenedioxyphenyl)-4,9-nonadienoyl]pyrrolidine",,,
Amide Alkaloids from Piper boehmeriaefolium,"3-(3,4,5-Trimethoxyphenyl)propanoylpyrrole",,,
Amide Alkaloids from Piper boehmeriaefolium,"3-(4-Hydroxy-3,5-dimethoxyphenyl)propanoylpyrrole",,,
Aspergillus niger transformed turmerone derivitives,"(+)-(7S)-15-carboxy-9,13-epoxy-7-hydroxy-9,13-dehydro-ar-curcumene",,,
Aspergillus niger transformed turmerone derivitives,(+)-(7S)-hydroxydehydro-ar-todomatuic acid,,,
Aspergillus niger transformed turmerone derivitives,"(+)-(7S,10E)-12-hydroxydehydro-ar-todomatuic acid",,,
Aspergillus niger transformed turmerone derivitives,"(+)-(7S,10E)-7,12-dihydroxydehydro-ar-todomatuic acid",,,
Aspergillus niger transformed turmerone derivitives,"(+)-7,11-dihydroxy-ar-todomatuic acid",,,
Aspergillus niger transformed turmerone derivitives,"Tetrahydro-2-(4-carbomethoxyphenyl)-2,6,6-trimetyl-4H-pyran-4-one",,,
eutypoid B,eutypoid B,,,
malyngamide 2,malyngamide 2,,,
Pitiprolamide,Pitiprolamide,,,
schizanthines,schizanthine N ,,,
schizanthines,schizanthine O,,,
schizanthines,schizanthine P,,,
Sesquiterpene Benzoxazoles and Sesquiterpene Quinones from Dactylospongia elegans,nakijinol B diacetate ,,,
Sesquiterpene Benzoxazoles and Sesquiterpene Quinones from Dactylospongia elegans,nakijinol B,,,
Sesquiterpene Benzoxazoles and Sesquiterpene Quinones from Dactylospongia elegans,smenospongine B,,,
Sesquiterpene Benzoxazoles and Sesquiterpene Quinones from Dactylospongia elegans,smenospongine C,,,
Sesquiterpene Benzoxazoles and Sesquiterpene Quinones from Dactylospongia elegans,Smenospongine D triacetate (7),,,
stachylines,stachyline B (R)-MTPA ester,,,
stachylines,stachyline B (S)-MTPA ester,,,
stachylines,stachyline B,,,
tuberatolides,tuberatolide A,,,
tuberatolides,tuberatolide B,,,
Antimalarial Î²-Carboline and Indolactam Alkaloids from Marinactinospora thermotolerans,13-N-demethyl-methylpendolmycin,,,
Antimalarial Î²-Carboline and Indolactam Alkaloids from Marinactinospora thermotolerans,marinacarboline A,,,
Antimalarial Î²-Carboline and Indolactam Alkaloids from Marinactinospora thermotolerans,marinacarboline C,,,
Antimalarial Î²-Carboline and Indolactam Alkaloids from Marinactinospora thermotolerans,marinacarboline D,,,
Antimalarial Î²-Carboline and Indolactam Alkaloids from Marinactinospora thermotolerans,methylpendolmycin-14-O-Î±-glucoside,,,
Antiophidic Solanidane Steroidal Alkaloids from Solanum campaniforme,"22Î±,23Î±-Epoxysolanida-1,4,9-trien-3-one",,,
Antiophidic Solanidane Steroidal Alkaloids from Solanum campaniforme,"22Î±-23Î±-Epoxysolanida-1,4-dien-3-one",,,
Antiophidic Solanidane Steroidal Alkaloids from Solanum campaniforme,"3,9Î²-Hydroxy-22Î±,23Î±-epoxy-9(10)-seco-solanida-1,3,5(10)-triene",,,
Antiophidic Solanidane Steroidal Alkaloids from Solanum campaniforme,"tetracetylated 3,9Î²-Hydroxy-22Î±,23Î±-epoxy-9(10)-seco-solanida-1,3,5(10)-triene",,,
Benzofurans from Styrax agrestis,18,,,
Benzofurans from Styrax agrestis,19,,,
Benzofurans from Styrax agrestis,7-demethoxyegonol oleate,,,
Benzofurans from Styrax agrestis,"7-demethoxyegonol-9(Z),12(Z) linoleate",,,
Benzofurans from Styrax agrestis,"egonol-9(Z),12(Z) linoleate",,,
Benzofurans from Styrax agrestis,"ozonolyzed 7-demethoxyegonol-9(Z),12(Z) linoleate",,,
Benzofurans from Styrax agrestis,"ozonolyzed egonol-9(Z),12(Z) linoleate",,,
Berkeleyones,Berkeleyone A,,,
Berkeleyones,Berkeleyone B,,,
Berkeleyones,Berkeleyone C,,,
Citropsis articulataderived anti parasitic compounds,Katimborine,,,
Citropsis articulataderived anti parasitic compounds,Omubioside,,,
clethroidosides,clethroidoside A,,,
clethroidosides,clethroidoside B,,,
clethroidosides,clethroidoside C,,,
clethroidosides,clethroidoside D,,,
clethroidosides,clethroidoside E,,,
clethroidosides,clethroidoside F,,,
Diarylheptanoids from Alpinia katsumadai,(-)-(R)-4''-hydroxyyashabushiketol,,,
Diarylheptanoids from Alpinia katsumadai,"(3S,5S)-alpinikatin",,,
Diarylheptanoids from Alpinia katsumadai,7-epi-katsumain C,,,
Diarylheptanoids from Alpinia katsumadai,ent-alpinnanin A,,,
Diarylheptanoids from Alpinia katsumadai,ent-alpinnanin B,,,
Diarylheptanoids from Alpinia katsumadai,ent-calyxin H,,,
Diarylheptanoids from Alpinia katsumadai,katsumain C,,,
Diterpene Isonitriles from the Sponge Pseudoaxinella flava,1,,,
dysolenticins,dysolenticin A,,,
dysolenticins,dysolenticin B,,,
dysolenticins,dysolenticin C,,,
dysolenticins,dysolenticin D,,,
dysolenticins,dysolenticin E,,,
dysolenticins,dysolenticin F,,,
dysolenticins,dysolenticin G,,,
dysolenticins,dysolenticin H aka dysolenticellin H,,,
dysolenticins,dysolenticin I,,,
dysolenticins,dysolenticin J,,,
farinamycin,farinamycin in DMSO,,,
farinamycin,farinamycin in pyridine,,,
ganodone,ganodone in C6D6 and CD3OD,,,
ganodone,ganodone in CDCl3,,,
glionitrin B,glionitrin B,,,
lobophytumins,lobophytumin A,,,
lobophytumins,lobophytumin B,,,
lobophytumins,lobophytumin C,,,
lobophytumins,lobophytumin D,,,
lobophytumins,lobophytumin E,,,
lobophytumins,lobophytumin F,,,
Loniphenyruviridosides and Lonijaposides,Lonijaposide E,,,
Loniphenyruviridosides and Lonijaposides,Lonijaposide H,,,
Loniphenyruviridosides and Lonijaposides,Lonijaposide I,,,
Loniphenyruviridosides and Lonijaposides,Lonijaposide M,,,
Loniphenyruviridosides and Lonijaposides,Loniphenyruviridoside A,,,
Loniphenyruviridosides and Lonijaposides,Loniphenyruviridoside B,,,
Loniphenyruviridosides and Lonijaposides,Loniphenyruviridoside C,,,
Loniphenyruviridosides and Lonijaposides,Loniphenyruviridoside D,,,
merulin D,merulin D,,,
noroleanane triterpenoids from Paeonia rockii,1,,,
noroleanane triterpenoids from Paeonia rockii,2,,,
noroleanane triterpenoids from Paeonia rockii,3,,,
Pestalotiopsis virgatula Endophyte derived dispiro metabolites,"1-(3,9-Dihydroxy-1,3-dihydrobenzo[c]oxepin-3-yl)ethanone",,,
Pestalotiopsis virgatula Endophyte derived dispiro metabolites,Pestalospirane A,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,"1,3,6-trihydroxy-2-hydroxymethyl-9,10-anthraquinone-3-O-(6'-O-acetyl)-b-D-glucopyranoside",,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,"1,3-dihydroxy-6-methoxy-2-methyl-9,10-anthraquinone",,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,"19,28-didehydroxyrubiarbonol A",,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,2-hydroxyrubiarbonone E,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,2a-acetoxy-28-acetylrubiarboside G,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,"4R'S',4'R'S'-dihydroxy-2R'S',2'R'S'-binaphthalene-1,1'-dione",,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubianol-e 3-O-(6â€™-O-acetyl)-b-D-glucopyranoside,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubiarbonol A 3-O-Î²-d-glucopyranosyl-(1â†’2)-Î²-d-glucopyranoside,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubiarbonol A 7-acetate,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubiarbonol K,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubiarbonol L,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubiarbonone E 19-acetate,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubiarboside G 28-acetate,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,rubiarboside G 28-al,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubinaphthin A methyl ester,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubiyunnanol A,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubiyunnanol B,,,
Rubia yunnanensis derived Arborinane-type Triterpenoids and Anthraquinones,Rubiyunnanol C,,,
sarmentosumins,sarmentosumin A,,,
sarmentosumins,sarmentosumin B,,,
sarmentosumins,sarmentosumin C,,,
sarmentosumins,sarmentosumin D,,,
smardaesidins,7-hydroxy-6-oxoisopimara-7-en-20-oic acid ,,,
smardaesidins,"8,14-methylenesphaeropsidin A methyl ester",,,
smardaesidins,smardaesidin A,,,
smardaesidins,smardaesidin B and C mixture,,,
smardaesidins,smardaesidin D,,,
smardaesidins,smardaesidin E,,,
smardaesidins,smardaesidin F,,,
smardaesidins,smardaesidin G,,,
spiruchostatin C,spiruchostatin C,,,
Talathermophilin D,Talathermophilin D,,,
thailandepsins,thailandepsin A,,,
thailandepsins,thailandepsin B,,,
tryptamines,2-Bromo-N-methyltryptamine,,,
tryptamines,3-Bromotyramine,,,
tryptamines,6-Bromo-N-methyltryptamine,,,
6a,7-didehydro-1,9,10-trihydroxy-2-methoxy-6-methylaporphinium trifluoroacetate,"6a,7-didehydro-1,9,10-trihydroxy-2-methoxy-6-methylaporphinium trifluoroacetate"
Annona squamosa derived bistetrahydrofuran annonaceous acetogenines with mosher,mosher Annosquacin-I R,,,
Annona squamosa derived bistetrahydrofuran annonaceous acetogenines with mosher,mosher Annosquacin-I S,,,
Annona squamosa derived bistetrahydrofuran annonaceous acetogenines with mosher,mosher Annosquatin-I R,,,
Annona squamosa derived bistetrahydrofuran annonaceous acetogenines with mosher,mosher Annosquatin-I S,,,
Annona squamosa derived bistetrahydrofuran annonaceous acetogenines with mosher,mosher Annosquatin-II R,,,
Annona squamosa derived bistetrahydrofuran annonaceous acetogenines with mosher,mosher Annosquatin-II S,,,
bruceollines and yadanziolides,bruceolline H,,,
bruceollines and yadanziolides,bruceolline I,,,
bruceollines and yadanziolides,bruceolline J,,,
bruceollines and yadanziolides,bruceolline K,,,
bruceollines and yadanziolides,bruceolline L,,,
bruceollines and yadanziolides,bruceolline M,,,
bruceollines and yadanziolides,bruceolline N,,,
bruceollines and yadanziolides,yadanziolide T,,,
bruceollines and yadanziolides,yadanziolide U,,,
bruceollines and yadanziolides,yadanziolide V,,,
Carthamus oxyacantha derived compounds,"(2R,5S,10S)-10-Methyl-6-methylene-2-[(1-methyl-1-Î²-d-fucopyranosyloxy)ethyl]spiro[4.5]decan-8-one",,,
Carthamus oxyacantha derived compounds,"(2R,5S,10S)-6,10-Dimethyl-2-[(1-methyl-1-Î²-d-fucopyranosyloxy)ethyl]spiro[4.5]dec-6-en-8-one",,,
Carthamus oxyacantha derived compounds,"(2R,5S,7R,10S)-7-Hydroperoxy-2-[(1-methyl-1-Î²-d-fucopyranosyloxy)ethyl]-10-methyl-6-methylenespiro[4.5]decane",,,
Carthamus oxyacantha derived compounds,"(4S,5S,7R)-1,4-Dimethyl-7-[(1-methyl-1-Î²-d-fucopyranosyloxy)ethyl]spiro[4.4]non-1-ene-2-carbaldehyde",,,
Cucurbitane Glucosides from  Machilus yaoshansis,"(16Î±,20R)-20,24-Epoxy-2,16-dihydroxy-25,26,27-trinorcucurbita-1,5,23-triene-3,11,22-trione 2-O-Î²-d-glucopyranoside",,,
Cucurbitane Glucosides from  Machilus yaoshansis,"(16Î±,20R,22S,23S)-16,2322,25-Diepoxy-2,20,22,23-tetrahydroxycucurbita-1,5-diene-3,11-dione 2-O-Î²-d-glucopyranoside",,,
Cucurbitane Glucosides from  Machilus yaoshansis,"(16Î±,20R,24R)-24N,25-Carbamoyloxy-2,16,20-trihydroxycucurbita-1,5-diene-3,11,22-trione 2-O-Î²-d-glucopyranoside",,,
Cucurbitane Glucosides from  Machilus yaoshansis,"(16Î±,20R,24S)-16,24-Epoxy-2,20,25-trihydroxycucurbita-1,5-diene-3,11,22-trione 2-O-Î²-d-glucopyranoside",,,
Cucurbitane Glucosides from  Machilus yaoshansis,"(16Î±,20R,24S)-2,16,20,25-Tetrahydroxy-24-methoxycucurbita-1,5-diene-3,11,22-trione 2-O-Î²-d-glucopyranoside",,,
Cucurbitane Glucosides from  Machilus yaoshansis,"(16Î±,20S,22S,23S)-16,2322,25-Diepoxy-2,22,23-trihxydroxycucurbita-1,5-diene-3,11-dione 2-O-Î²-d-glucopyranoside",,,
Cucurbitane Glucosides from  Machilus yaoshansis,"2-Hydroxy-(22â€“27)-hexanorcucurbita-1,5,16-triene-3,11,20-trione 2-O-Î²-d-glucopyranoside",,,
Grahamines,Grahamine A,,,
Grahamines,Grahamine B,,,
Grahamines,Grahamine C,,,
Grahamines,Grahamine D,,,
Grahamines,Grahamine E,,,
jadomycins,jadomycin DNL ,,,
jadomycins,jadomycin DNV,,,
saccharumosides,saccharumoside A,,,
saccharumosides,saccharumoside B,,,
saccharumosides,saccharumoside C,,,
saccharumosides,saccharumoside D,,,
Siderophore from Streptomyces sp. YM5-799,dibenarthin,,,
Siderophore from Streptomyces sp. YM5-799,tribenarthin,,,
acremostrictin,acremostrictin,,,
Apetalines and Mauritines,Apetaline A,,,
Apetalines and Mauritines,Apetaline B,,,
Apetalines and Mauritines,Apetaline C,,,
Apetalines and Mauritines,epi-Mauritine A N-oxide,,,
Apetalines and Mauritines,epi-Mauritine A,,,
Apetalines and Mauritines,Mauritine A N-oxide,,,
Isoflavonoids and Coumarins from Glycyrrhiza uralensis,Glycycarpan,,,
Isoflavonoids and Coumarins from Glycyrrhiza uralensis,Licoriquinone A,,,
Isoflavonoids and Coumarins from Glycyrrhiza uralensis,Licoriquinone B,,,
JBIR,JBIR-85,,,
macrolactins,"13,17-Epoxy-16-hydroxy macrolactin A",,,
macrolactins,"15,17-Epoxy-16-hydroxy macrolactin A",,,
macrolactins,"18,19-Epoxy macrolactin A",,,
pouosides,pouoside F,,,
pouosides,pouoside G,,,
pouosides,pouoside I,,,
trigoheterins,trigoheteric acid methyl ester,,,
trigoheterins,trigoheterin A,,,
trigoheterins,trigoheterin B,,,
trigoheterins,trigoheterin C,,,
trigoheterins,trigoheterin D,,,
trigoheterins,trigoheterin E,,,
trigoheterins,trigohetone,,,
withalongolides,"2,3-dihydro-3Î²-methoxywithaferin A",,,
withalongolides,"2,3-dihydro-3Î²-O-sulfate withaferin A",,,
withalongolides,"3Î±,6Î±-epoxy-4Î²,5Î²,27-trihydroxy-1-oxowitha-24-enolide",,,
withalongolides,sitoindoside IX,,,
withalongolides,viscosalactone B,,,
withalongolides,"withalongolide A 4, 19, 27-triacetae",,,
withalongolides,"withalongolide A 4,27-diacetae",,,
withalongolides,withalongolide A in C5D5N,,,
withalongolides,withalongolide A in CDCl3 and CD3OD,,,
withalongolides,"withalongolide B 4,19-diacetate",,,
withalongolides,withalongolide B 4-acetate,,,
withalongolides,withalongolide B,,,
withalongolides,withalongolide C,,,
withalongolides,withalongolide D,,,
withalongolides,withalongolide E,,,
withalongolides,withalongolide F,,,
withalongolides,withalongolide G,,,
