"Landomycins P−W, Cytotoxic Angucyclines from Streptomyces cyanogenus S-136; 2011; 10.1021-np100469y",,,,,
,,,,,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,
"Table 1. 13C and 1H NMR Assignments of the New Landomycins P, Q, and R [δ in ppm relative to TMS (multiplicity, J Hz)]",,,,,
"Footnotes: ['aSee also Figures S13−S18.', 'bCDCl3.', 'c125 MHz.', 'dDMSO-d6.', 'eNot observed.']",,,,,
,,,,,
,landomycin P (5)a,landomycin Q (6)a,landomycin R (3)a,,
position,"δCb,c",δH (500 MHz)b,δH (500 MHz)b,δH (500 MHz)d,
1,"155.3, C",,,,
1-OH,,"11.11, s","10.62, s","10.67, br s",
2,"120.0, CH","7.10, d (1.5)","7.16, d (1.8)","6.97, br s",
3,"141.4, C",,,,
3-CH3,"21.4, CH3","2.46, s","2.48, s","2.45, s",
4,"121.4, CH","7.23, d (1.5)","7.27, d (1.8)","7.34, br s",
4a,"138.6, C",,,,
5,"137.8, CH","8.09, d (8.6)","8.13, d (8.7)","8.09, d (8.6)",
6,"123.0, CH","8.24, d (8.6)","8.25, d (8.6)","8.18, d (8.8)",
6a,"136.8, C",,,,
7,"181.9, C",,,,
7a,"122.5, C",,,,
8,"156.6, C",,,,
9,"124.9, CH","7.49, dd (8.4, 1.0)","7.53, d (9.3)","7.52, d (9.3)",
10,"134.9, CH","7.67, ddd (8.0, 7.8, 1.0)","7.26, d (9.3)","7.34, d (9.8)",
11,"123.5, CH","8.01, dd (7.8, 1.0)",,,
11-OH,,,"12.23, s","12.17, br s",
11a,"137.2, C",,,,
12,"190.7, C",,,,
12a,"130.9, C",,,,
12b,"119.4, C",,,,
"sugar A, β-d-olivose",,,,,
1A,"98.9, CH","5.23, dd (9.5, 1.7)","5.08, dd (9.5, 2.0)","5.25, dd (9.7, 1.9)",
