,0,1,2,3,4,5
0,,,,,,
1,,,,,,
2,1,"155.3, C",,,,
3,1-OH,,"11.11, s","10.62, s","10.67, br s",
4,2,"120.0, CH","7.10, d (1.5)","7.16, d (1.8)","6.97, br s",
5,3,"141.4, C",,,,
6,3-CH3,"21.4, CH3","2.46, s","2.48, s","2.45, s",
7,4,"121.4, CH","7.23, d (1.5)","7.27, d (1.8)","7.34, br s",
8,4a,"138.6, C",,,,
9,5,"137.8, CH","8.09, d (8.6)","8.13, d (8.7)","8.09, d (8.6)",
10,6,"123.0, CH","8.24, d (8.6)","8.25, d (8.6)","8.18, d (8.8)",
11,6a,"136.8, C",,,,
12,7,"181.9, C",,,,
13,7a,"122.5, C",,,,
14,8,"156.6, C",,,,
15,9,"124.9, CH","7.49, dd (8.4, 1.0)","7.53, d (9.3)","7.52, d (9.3)",
16,10,"134.9, CH","7.67, ddd (8.0, 7.8, 1.0)","7.26, d (9.3)","7.34, d (9.8)",
17,11,"123.5, CH","8.01, dd (7.8, 1.0)",,,
18,11-OH,,,"12.23, s","12.17, br s",
19,11a,"137.2, C",,,,
20,12,"190.7, C",,,,
21,12a,"130.9, C",,,,
22,12b,"119.4, C",,,,
23,"sugar A, β-dolivose",,,,,
24,1A,"98.9, CH","5.23, dd (9.5, 1.7)","5.08, dd (9.5, 2.0)","5.25, dd (9.7, 1.9)",
25,2A,"37.8, CH2","2.02, ddd (12.7, 12.1, 8.4, Ha), 2.73, ddd (12.7, 5.1, 1.7, He)","2.00, ddd (12.7, 12.1, 8.4, Ha), 2.80, ddd (12.7, 5.1, 2.0, He)","1.66, ddd (12.0, 11.8, 9.8, Ha), 2.78, ddd (12.7, 5.1, 1.5, He)",
26,3A,"69.5, CH","3.76. ddd (12.3, 8.4, 5.1)","3.75, ddd (12.0, 8.5, 5.0)","3.61, m",
27,3A-OH,,"4.70, br s","4.68, br s","4.70, br s",
28,4A,"88.1, CH","3.12, dd (8.4, 8.4)","3.12, dd (8.4, 8.4)","3.08, dd (8.8, 8.8)",
29,5A,"71.1, CH","3.46, m","3.39, m","3.35, m",
30,6A,"18.1, CH3","1.31, d (6.1)","1.28, d (6.2)","1.22, d (6.1)",
31,"sugar B, β-d-olivose",,,,,
32,1B,"101.1, CH","4.55, dd (9.9, 1.6)","4.52, dd (9.8, 2.0)","4.64, dd (9.8, 1.7)",
33,2B,"37.3, CH2","1.66, ddd (12.0, 12.0, 8.0,Ha), 2.24, ddd (12.0, 5.0, 1.5, He)","1.66, ddd (12.0, 12.0, 8.0,Ha), 2.24, ddd (12.0, 5.0, 1.5, He)","1.35, ddd (12.1, 11.9, 8.0, Ha), 2.07, ddd (11.8, 5.0, 1.5, He)",
